method_id,search_nfe,runs,median_best_cost,q25_best_cost,q75_best_cost
A3-only,105600,30,42661.98671382826,42585.6297028894,42767.06854675776
A3-only,106200,30,42654.57264323125,42581.91200068923,42767.06854675776
A3-only,106800,30,42654.57264323125,42578.15117925606,42767.06854675776
A3-only,107400,30,42652.32694221792,42578.15117925606,42761.651413874875
A3-only,108000,30,42649.12834793782,42575.471894335526,42758.32612356584
A3-only,108600,30,42649.12834793782,42571.77803808682,42748.49539708224
A3-only,109200,30,42647.192466572094,42570.33195821903,42748.49539708224
A3-only,109800,30,42646.07798465714,42569.363172677215,42748.4338099159
A3-only,110400,30,42642.22277772622,42568.11430134275,42727.28709457565
A3-only,111000,30,42642.22277772622,42562.49191360643,42724.50435665116
A3-only,111600,30,42642.18904328543,42561.54028343648,42719.446700182896
A3-only,112200,30,42633.97985333369,42559.68475705224,42718.57020706864
A3-only,112800,30,42629.01867482286,42559.18341300046,42716.69726130781
A3-only,113400,30,42629.01867482286,42559.130375214336,42700.95587055707
A3-only,114000,30,42625.79359225328,42558.10267522075,42700.95587055707
A3-only,114600,30,42618.53296460357,42554.63327237216,42700.759418524955
A3-only,115200,30,42618.53296460357,42552.31672540671,42691.69482486234
A3-only,115800,30,42614.65323599687,42548.744883446474,42691.660805880485
A3-only,116400,30,42610.31109283393,42547.337380225,42690.470458957134
A3-only,117000,30,42609.28921582007,42546.122571545115,42687.79067044564
A3-only,117600,30,42608.17632485983,42546.122571545115,42681.10008198958
A3-only,118200,30,42606.73667963648,42545.37397212957,42674.24429429404
A3-only,118800,30,42606.73667963648,42543.958202688635,42674.24429429404
A3-only,119400,30,42602.21693811784,42543.958202688635,42674.01449192091
A3-only,120000,30,42597.41110533346,42542.69033674292,42666.36114216148
A3-only,120600,30,42593.08813191454,42542.69033674292,42663.22648172903
A3-only,121200,30,42593.08813191454,42536.711540315344,42663.22648172903
A3-only,121800,30,42582.58325711285,42531.46598377039,42663.22648172903
A3-only,122400,30,42577.74986258267,42529.465682218506,42660.14424181807
A3-only,123000,30,42577.74986258267,42529.465682218506,42649.36439115077
A3-only,123600,30,42576.71136255348,42527.90140158437,42645.957095952974
A3-only,124200,30,42574.98894365343,42526.284356440694,42643.301176687295
A3-only,124800,30,42572.375434379275,42526.284356440694,42642.79401459467
A3-only,125400,30,42570.057396075026,42526.284356440694,42640.95775427658
A3-only,126000,30,42564.6710034923,42523.93132150969,42640.80748064198
A3-only,126600,30,42563.82417824833,42523.52545444557,42640.23263312859
A3-only,127200,30,42563.82417824833,42522.88790528704,42640.23263312859
A3-only,127800,30,42561.40981823389,42522.88790528704,42637.65171127255
A3-only,128400,30,42560.10733148173,42522.88790528704,42629.950049707004
A3-only,129000,30,42560.10733148173,42522.45627204291,42629.950049707004
A3-only,129600,30,42559.32629781806,42522.26070586947,42629.950049707004
A3-only,130200,30,42556.763600692044,42521.88484509712,42628.44649664346
A3-only,130800,30,42556.763600692044,42518.17199895886,42615.604628223875
A3-only,131400,30,42555.48406819739,42517.0671141386,42615.08644194083
A3-only,132000,30,42553.25451594,42516.56175436365,42610.07319494105
A3-only,132600,30,42553.25451594,42516.56175436365,42608.72517311721
A3-only,133200,30,42549.73301910001,42514.01340780902,42605.29590744973
A3-only,133800,30,42546.39722989481,42514.01340780902,42603.25310169162
A3-only,134400,30,42545.40011591771,42514.01340780902,42596.45081987321
A3-only,135000,30,42544.951304105045,42513.77508121586,42590.93759344175
A3-only,135600,30,42542.44784070069,42510.05048309926,42587.73656520216
A3-only,136200,30,42539.050727090325,42510.05048309926,42587.13818890104
A3-only,136800,30,42536.52685000049,42510.05048309926,42587.00082619176
A3-only,137400,30,42535.85838676384,42508.020400905516,42586.581560933046
A3-only,138000,30,42532.24756554353,42508.020400905516,42584.97462895078
A3-only,138600,30,42528.65580829347,42508.020400905516,42583.32951107278
A3-only,139200,30,42527.80226184875,42505.08323943991,42578.929667139484
A3-only,139800,30,42527.635660775784,42503.8586972562,42578.28375225373
A3-only,140400,30,42524.50177041798,42503.597212414374,42577.935799127226
A3-only,141000,30,42522.95774287619,42503.597212414374,42573.49023471139
A3-only,141600,30,42520.7619018416,42501.11088511942,42573.49023471139
