method_id,search_nfe,runs,median_best_cost,q25_best_cost,q75_best_cost
Rule,216000,30,42461.9223203724,42431.825603388184,42534.996520066044
Rule,216600,30,42461.722588955716,42431.35866953777,42534.607509234374
Rule,217200,30,42461.46102762128,42431.080340739616,42533.81630781705
Rule,217800,30,42460.77351037855,42430.62763643032,42533.291374029264
Rule,218400,30,42460.65245582057,42430.17788046369,42532.8580691665
Rule,219000,30,42460.29478924602,42429.70852157094,42532.55188251997
Rule,219600,30,42459.93517517597,42429.374078207125,42532.12056183479
Rule,220200,30,42459.63547677845,42429.18569866743,42531.74306021316
Rule,220800,30,42459.59811927071,42429.07470019217,42531.462252789934
Rule,221400,30,42459.484858326156,42428.82877111847,42531.166659289476
Rule,222000,30,42459.39776461727,42428.6472175376,42530.929369870246
Rule,222600,30,42459.16586857605,42428.568629003144,42530.661939997844
Rule,223200,30,42458.96789606403,42428.33403780641,42530.46089302717
Rule,223800,30,42458.82153141244,42428.23925847117,42530.21351193222
Rule,224400,30,42458.591588263036,42428.081660951066,42530.04219390118
Rule,225000,30,42458.57459984964,42427.99172558202,42529.90031350703
Rule,225600,30,42458.43725368107,42427.71326956306,42529.73403083533
Rule,226200,30,42458.404801006516,42427.59676778631,42529.566925406965
Rule,226800,30,42458.32851765523,42427.35760340945,42529.417182530255
Rule,227400,30,42458.264177966244,42426.98428164652,42529.2755431961
Rule,228000,30,42457.99614651155,42426.78365806735,42529.081834256765
Rule,228600,30,42457.99247649862,42426.48847627159,42528.879580464156
Rule,229200,30,42457.561767048435,42426.151567550594,42528.637640335524
Rule,229800,30,42457.077628067535,42425.837582385604,42528.505681284034
Rule,230400,30,42456.50668596513,42425.59779654228,42528.29570318744
Rule,231000,30,42455.95917014356,42425.24848226042,42528.12908163255
Rule,231600,30,42455.225081909404,42424.99711328453,42527.92700006933
Rule,232200,30,42454.91381648666,42424.6062277663,42527.75818634729
Rule,232800,30,42454.282449161416,42424.54394051066,42527.60564640566
Rule,233400,30,42454.05975166839,42424.031723931075,42527.356368441455
Rule,234000,30,42453.542160442084,42423.80954419438,42527.14386108338
Rule,234600,30,42453.084672811776,42423.45842545062,42526.93235658998
Rule,235200,30,42452.252331988675,42423.15824186075,42526.73435883716
Rule,235800,30,42451.70846984231,42423.12382038904,42526.57128979781
Rule,236400,30,42450.824661905426,42422.948121572714,42526.47705972484
Rule,237000,30,42450.31833100349,42422.608614072866,42526.23398544929
Rule,237600,30,42449.88396714172,42422.58772740739,42525.87831775372
Rule,238200,30,42449.436047532115,42422.44664603476,42525.70860313126
Rule,238800,30,42448.85857214553,42422.41317253449,42525.54034475377
Rule,239400,30,42448.44927320055,42422.23479841149,42525.31230493146
Rule,240000,30,42448.13607772444,42422.04319431446,42525.0950091383
Rule,240600,30,42447.4034237609,42421.870822694545,42525.00041351286
Rule,241200,30,42447.214667742686,42421.61352405407,42524.843263866176
Rule,241800,30,42447.096023579936,42421.61352405407,42524.567535242735
Rule,242400,30,42446.98727009163,42421.40747639859,42523.43891337451
Rule,243000,30,42446.70313072423,42420.54795919404,42518.162436168976
Rule,243600,30,42446.51097028398,42416.98875582783,42515.305185539924
Rule,244200,30,42446.51097028398,42416.17604653117,42514.15033574579
Rule,244800,30,42446.14745642499,42415.69932190587,42513.62814631243
Rule,245400,30,42446.09803039072,42415.69932190587,42512.53667533733
Rule,246000,30,42444.29184692355,42415.169482353274,42509.620564379395
Rule,246600,30,42443.47066984311,42413.56733216523,42509.50499194852
Rule,247200,30,42441.9401640757,42412.21498670313,42504.383680452665
Rule,247800,30,42439.89703027297,42411.201888723546,42501.65858718357
Rule,248400,30,42439.596076082926,42411.13692431496,42499.90931874912
Rule,249000,30,42439.596076082926,42410.93170474806,42499.42875262248
Rule,249600,30,42436.76798193919,42410.83172860736,42494.783366568816
Rule,250200,30,42435.86021619376,42410.70276855052,42492.6035400578
Rule,250800,30,42435.86021619376,42410.51187503269,42492.6035400578
Rule,251400,30,42435.53324397438,42410.51187503269,42492.6035400578
Rule,252000,30,42433.243081516266,42410.372644949064,42491.18169245728
Rule,252600,30,42431.96988186631,42410.372644949064,42490.95465858413
Rule,253200,30,42431.52100253596,42409.87346332261,42487.80729491772
Rule,253800,30,42431.52100253596,42409.86568431557,42487.68459969584
Rule,254400,30,42430.48967246942,42409.301862094064,42486.35113199948
Rule,255000,30,42430.48967246942,42408.710153971304,42486.09444262744
Rule,255600,30,42429.49881290337,42408.710153971304,42486.09444262744
Rule,256200,30,42428.93997161763,42408.710153971304,42485.79484151791
Rule,256800,30,42426.24528437617,42408.647246523265,42483.88393757412
Rule,257400,30,42426.24528437617,42408.40096499066,42482.29982795961
Rule,258000,30,42426.24528437617,42408.01745775824,42475.683032792964
Rule,258600,30,42426.11646234399,42406.62326482438,42475.609898741546
Rule,259200,30,42426.11646234399,42405.22816536609,42474.75407030531
Rule,259800,30,42425.31116504458,42405.10051940139,42474.075977098764
Rule,260400,30,42425.31116504458,42405.03728904687,42473.95056714902
