seed,checkpoint,action,repeat,checkpoint_nfe,start_iteration,end_iteration,start_nfe,end_nfe,before_cost,after_cost,before_cv,after_cv,feasible_after,cost_reward,gap_reward
310026,20pct,A2,2,60600,100,120,60600,72600,42588.92799153017,42540.91857961421,0.0,0.0,True,48.00941191595484,0.001133454900019512
310026,20pct,A2,3,60600,100,120,60600,72600,42588.92799153017,42548.91200798894,0.0,0.0,True,40.01598354122689,0.0009447379339556257
310026,20pct,A3,1,60600,100,120,60600,72600,42588.92799153017,42564.66245148156,0.0,0.0,True,24.265540048603725,0.0005728854858263596
310026,20pct,A3,2,60600,100,120,60600,72600,42588.92799153017,42562.718100001155,0.0,0.0,True,26.209891529011657,0.0006187897080377584
310026,20pct,A3,3,60600,100,120,60600,72600,42588.92799153017,42554.76810348686,0.0,0.0,True,34.159888043308456,0.0008064812906808097
310026,20pct,A4,1,60600,100,120,60600,72600,42588.92799153017,42568.024203103756,0.0,0.0,True,20.903788426410756,0.0004935178431755049
310026,20pct,A4,2,60600,100,120,60600,72600,42588.92799153017,42559.91446298585,0.0,0.0,True,29.013528544317523,0.0006849808148656766
310026,20pct,A4,3,60600,100,120,60600,72600,42588.92799153017,42557.66460885079,0.0,0.0,True,31.263382679375354,0.0007380976536675073
310026,40pct,A1,1,120600,200,220,120600,132600,42450.10585296736,42430.70791575368,0.0,0.0,True,19.39793721368187,0.0004579661801233561
310026,40pct,A1,2,120600,200,220,120600,132600,42450.10585296736,42430.70791575368,0.0,0.0,True,19.39793721368187,0.0004579661801233561
310026,40pct,A1,3,120600,200,220,120600,132600,42450.10585296736,42430.70791575368,0.0,0.0,True,19.39793721368187,0.0004579661801233561
310026,40pct,A2,1,120600,200,220,120600,132600,42450.10585296736,42436.788504707394,0.0,0.0,True,13.31734825996682,0.0003144094676050253
310026,40pct,A2,2,120600,200,220,120600,132600,42450.10585296736,42427.63982386372,0.0,0.0,True,22.46602910364163,0.0005304008059103329
310026,40pct,A2,3,120600,200,220,120600,132600,42450.10585296736,42430.750117911986,0.0,0.0,True,19.35573505537468,0.00045696982875774407
310026,40pct,A3,1,120600,200,220,120600,132600,42450.10585296736,42441.16459155074,0.0,0.0,True,8.941261416621273,0.00021109437005323566
310026,40pct,A3,2,120600,200,220,120600,132600,42450.10585296736,42448.60848136102,0.0,0.0,True,1.497371606339584,3.535146790231095e-05
310026,40pct,A3,3,120600,200,220,120600,132600,42450.10585296736,42444.48839862729,0.0,0.0,True,5.617454340070253,0.00013262256072902505
310026,40pct,A4,1,120600,200,220,120600,132600,42450.10585296736,42435.90203742813,0.0,0.0,True,14.203815539229254,0.0003353380864172266
310026,40pct,A4,2,120600,200,220,120600,132600,42450.10585296736,42439.618323064715,0.0,0.0,True,10.487529902646202,0.000247600245094964
310026,40pct,A4,3,120600,200,220,120600,132600,42450.10585296736,42430.10434162968,0.0,0.0,True,20.001511337679403,0.0004722159703429824
310026,60pct,A1,1,180600,300,320,180600,192600,42391.980984099944,42387.39483971942,0.0,0.0,True,4.586144380526093,0.00010827434898399058
310026,60pct,A1,2,180600,300,320,180600,192600,42391.980984099944,42387.39483971942,0.0,0.0,True,4.586144380526093,0.00010827434898399058
310026,60pct,A1,3,180600,300,320,180600,192600,42391.980984099944,42387.39483971942,0.0,0.0,True,4.586144380526093,0.00010827434898399058
310026,60pct,A2,1,180600,300,320,180600,192600,42391.980984099944,42387.64452155183,0.0,0.0,True,4.33646254811174,0.00010237960699274675
310026,60pct,A2,2,180600,300,320,180600,192600,42391.980984099944,42388.428886920956,0.0,0.0,True,3.5520971789883333,8.386151365315545e-05
310026,60pct,A2,3,180600,300,320,180600,192600,42391.980984099944,42387.86249120353,0.0,0.0,True,4.118492896413954,9.723355833451909e-05
