ess_capacity_mwh,g2_max_mw,g1_fault_max_mw,no_reserve_cost,dynamic_reserve_cost,cost_increase_pct,no_reserve_pre_soc,dynamic_reserve_pre_soc,no_reserve_shed_mwh,dynamic_reserve_shed_mwh,shed_reduction_mwh
16.0,18.0,0.0,44567.71612329954,45067.862179543125,1.122216033821197,0.5168740566551948,0.5957695552683747,1.4707423624801532,2.785291326703048e-17,1.4707423624801532
16.0,19.0,6.0,44567.71612329954,44567.81140128734,0.00021378252261191903,0.5168740566551948,0.513668941404303,4.989187377867971e-16,2.399580812100389e-16,2.5896065657675827e-16
16.0,19.0,2.0,44567.71612329954,44574.59731082015,0.015439847762382759,0.5168740566551948,0.5495892455325416,0.0,0.0,0.0
16.0,19.0,0.0,44567.71612329954,45067.862179543125,1.122216033821197,0.5168740566551948,0.5957695552683747,1.4707423624803377,0.0,1.4707423624803377
16.0,20.0,6.0,44567.71612329954,44567.81140128734,0.00021378252261191903,0.5168740566551948,0.513668941404303,4.989187377867971e-16,2.399580812100389e-16,2.5896065657675827e-16
16.0,20.0,2.0,44567.71612329954,44574.59731082015,0.015439847762382759,0.5168740566551948,0.5495892455325416,0.0,0.0,0.0
16.0,20.0,0.0,44567.71612329954,45067.862179543125,1.122216033821197,0.5168740566551948,0.5957695552683747,1.4707423624801297,4.331118727507273e-16,1.4707423624801292
18.0,15.0,6.0,44486.9450306871,44486.9450306871,0.0,0.5100285024514473,0.5100285024514473,1.148582605707462e-15,1.148582605707462e-15,0.0
18.0,15.0,2.0,44486.9450306871,44493.03580906264,0.013691158993582973,0.5100285024514473,0.5299521077446808,8.221370233201156e-13,1.5728159515523261e-16,8.219797417249603e-13
18.0,15.0,0.0,44486.9450306871,44997.4807444808,1.1476079408049598,0.5100285024514473,0.6011951953561662,1.541099629875459,0.0,1.541099629875459
18.0,16.0,6.0,44486.9450306871,44486.9450306871,0.0,0.5100285024514473,0.5100285024514473,1.148582605707462e-15,1.148582605707462e-15,0.0
18.0,16.0,2.0,44486.9450306871,44492.73745481169,0.013020503252352312,0.5100285024514473,0.5190595797494979,8.221370233201156e-13,0.0,8.221370233201156e-13
18.0,16.0,0.0,44486.9450306871,44870.38443539971,0.8619144435476858,0.5100285024514473,0.5265040610826713,1.3704375027535092,0.0,1.3704375027535092
18.0,17.0,6.0,44486.9450306871,44486.9450306871,0.0,0.5100285024514473,0.5100285024514473,1.148582605707462e-15,1.148582605707462e-15,0.0
18.0,17.0,2.0,44486.9450306871,44492.73745481169,0.013020503252352312,0.5100285024514473,0.5190595797494979,8.221370233201156e-13,0.0,8.221370233201156e-13
18.0,17.0,0.0,44486.9450306871,44952.05527811294,1.0454982851823242,0.5100285024514473,0.6316360442748769,1.3704375027535047,0.0,1.3704375027535047
18.0,18.0,6.0,44486.9450306871,44486.9450306871,0.0,0.5100285024514473,0.5100285024514473,1.148582605707462e-15,1.148582605707462e-15,0.0
